row,ref,confirmed,question,answer
2,2,Y,Where can I see documentation around scenarios?,We are publishing our business process diagrams in the Street Manager documentation site and will be providing some test scenarios to private beta users.
3,3,Y,How do I know when a work has been updated and what the change is?,"See the API documentation - Technical Overview - Getting data from Street Manager. We expose a Reporting API ""/works/updates"" endpoint for polling Street Manager for changes to works."
,,,,
5,5,Y,How do I know when a work has been created on a Street or in an area of interest related to my organisation?,We have exposed the GeoJSON API so you can now query Street Manager via the API to find any works within defined spatial bounds and a date range. We are also looking at exposing filtering options within the Reporting API to define and query based on pre-defined areas of interest.
,,,,
7,7,Y,Will Fee Reporting cover section 74?,Initially this will need to be a comment. Later we will move towards introducing Defects which will include section 74.
,,,,
,,,,
,,,,
,,,,
12,12,Y,Will you preserve data entered for works during private beta going into public beta?,"Yes, data entered for production use during private beta will be preserved."
,,,,
,,,,
,,,,
,,,,
17,17,Y,Will Street Manager support API push notifications?,Not for MVP in public beta. Push notification are in the roadmap for later phases.
,,,,
,,,,
,,,,
21,21,Y,Will Street Manager support historic data?,Street Manager will not support migrating historic works data.
,,,,
,,,,
24,24,Y,How resilient will the Street Manager be to prevent outages? ,"Street Manager will be hosted across multiple AWS London regions, with multiple instances of each web/API node available. The underlying platform is designed to leverage cloud-native elasticity and resiliency features to ensure Street Manager can auto-scale with demand, and auto-heal from major systems failures."
,,,,
26,26,Y,How will I tell if one of my works has been updated?,There is a work events endpoint available in the reporting API which allows polling for updates.
,,,,
28,28,Y,Does the works event endpoint return all event data for the work?,"No, only the latest change. To get the full event data you must retrieve the work history via the work API."
29,29,Y,"Will Street Manager capture all history related to a work? Inspections, Comments, FPNs etc.","Yes, Street Manager records all changes to works in the Work History."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
36,36,Y,How do I retrieve a file linked to a work?,You retrieve the list of files associated with a work and call the work API to download the file using the file ID.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
44,44,Y,Will there be downtime when you are updating NSG data in Street Manager?,"No, Street Manager will update the NSG data as a background task without disrupting normal use."
45,45,Y,How will Street Manager handle changes to street data from the NSG?,NSG data will be taken at the point the Permit is submitted and saved against the work so there is a record of what it was at the time it was submitted.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
52,52,Y,Will the data from the API contain the USRN and ESU IDs?,"Work data will include the USRN, we have access to the ESUs and use them for querying NSG data for closest street to a location."
53,53,Y,"Will we be able to get spatial data, such as the start/end locations of road works, diversionary routes and traffic management from the API?","Yes, we record and store the Work Area geometry and return it as GeoJSON in work data.
"
54,54,Y,What will the data licencing be around the NSG data?,USRN and NSG data is maintained by GeoPlace and all authorised Street Works Authorities have rights to use it in relation to their legislative requirements for permitting/noticing.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
